Date Announced,Confirmed,Recovered,Active,Deceased,No_of_states,No_of_districts
01-01-2020,0,0,0,0,0,0
02-01-2020,0,0,0,0,0,0
03-01-2020,0,0,0,0,0,0
04-01-2020,0,0,0,0,0,0
05-01-2020,0,0,0,0,0,0
06-01-2020,0,0,0,0,0,0
07-01-2020,0,0,0,0,0,0
08-01-2020,0,0,0,0,0,0
09-01-2020,0,0,0,0,0,0
10-01-2020,0,0,0,0,0,0
11-01-2020,0,0,0,0,0,0
12-01-2020,0,0,0,0,0,0
13-01-2020,0,0,0,0,0,0
14-01-2020,0,0,0,0,0,0
15-01-2020,0,0,0,0,0,0
16-01-2020,0,0,0,0,0,0
17-01-2020,0,0,0,0,0,0
18-01-2020,0,0,0,0,0,0
19-01-2020,0,0,0,0,0,0
20-01-2020,0,0,0,0,0,0
21-01-2020,0,0,0,0,0,0
22-01-2020,0,0,0,0,0,0
23-01-2020,0,0,0,0,0,0
24-01-2020,0,0,0,0,0,0
25-01-2020,0,0,0,0,0,0
26-01-2020,0,0,0,0,0,0
27-01-2020,0,0,0,0,0,0
28-01-2020,0,0,0,0,0,0
29-01-2020,0,0,0,0,0,0
30-01-2020,1,0,1,0,1,1
31-01-2020,0,0,0,0,0,0
01-02-2020,0,0,0,0,0,0
02-02-2020,1,0,1,0,1,1
03-02-2020,1,0,1,0,1,1
04-02-2020,0,0,0,0,0,0
05-02-2020,0,0,0,0,0,0
06-02-2020,0,0,0,0,0,0
07-02-2020,0,0,0,0,0,0
08-02-2020,0,0,0,0,0,0
09-02-2020,0,0,0,0,0,0
10-02-2020,0,0,0,0,0,0
11-02-2020,0,0,0,0,0,0
12-02-2020,0,0,0,0,0,0
13-02-2020,0,0,0,0,0,0
14-02-2020,0,3,-3,0,0,0
15-02-2020,0,0,0,0,0,0
16-02-2020,0,0,0,0,0,0
17-02-2020,0,0,0,0,0,0
18-02-2020,0,0,0,0,0,0
19-02-2020,0,0,0,0,0,0
20-02-2020,0,0,0,0,0,0
21-02-2020,0,0,0,0,0,0
22-02-2020,0,0,0,0,0,0
23-02-2020,0,0,0,0,0,0
24-02-2020,0,0,0,0,0,0
25-02-2020,0,0,0,0,0,0
26-02-2020,0,0,0,0,0,0
27-02-2020,0,0,0,0,0,0
28-02-2020,0,0,0,0,0,0
29-02-2020,0,0,0,0,0,0
01-03-2020,0,0,0,0,0,0
02-03-2020,2,0,2,0,2,2
03-03-2020,1,0,1,0,1,1
04-03-2020,22,0,22,0,3,2
05-03-2020,2,0,2,0,2,2
06-03-2020,1,0,1,0,1,1
07-03-2020,3,0,3,0,2,2
08-03-2020,5,0,5,0,1,1
09-03-2020,9,0,9,0,7,7
10-03-2020,15,0,15,0,4,7
11-03-2020,8,0,8,0,3,5
12-03-2020,10,0,10,0,6,9
13-03-2020,10,0,9,1,6,7
14-03-2020,11,0,8,0,4,9
15-03-2020,10,0,10,0,4,6
16-03-2020,14,0,14,0,6,10
17-03-2020,20,0,20,0,9,13
18-03-2020,25,0,25,0,9,12
19-03-2020,27,0,27,0,15,23
20-03-2020,58,1,57,0,14,23
21-03-2020,78,0,78,0,14,34
22-03-2020,69,0,69,0,15,34
23-03-2020,94,0,94,0,16,36
24-03-2020,74,2,72,0,14,38
25-03-2020,86,0,86,0,19,42
26-03-2020,73,0,72,1,19,42
27-03-2020,153,2,150,1,18,53
28-03-2020,136,0,136,0,18,50
29-03-2020,120,91,4,25,15,41
30-03-2020,187,42,132,13,18,45
31-03-2020,309,19,284,6,21,66
01-04-2020,424,9,404,11,18,68
02-04-2020,486,22,453,11,23,73
03-04-2020,560,39,507,14,20,88
04-04-2020,579,56,510,13,21,108
05-04-2020,609,43,544,22,19,95
06-04-2020,484,65,403,16,20,96
07-04-2020,573,75,471,27,19,80
08-04-2020,565,96,449,20,18,92
09-04-2020,813,70,697,46,21,113
10-04-2020,871,151,698,22,22,92
11-04-2020,854,186,627,41,20,92
12-04-2020,758,114,602,42,19,91
13-04-2020,1243,112,1104,27,21,104
14-04-2020,1031,167,827,37,21,102
15-04-2020,886,144,715,27,20,95
16-04-2020,1061,258,777,26,20,107
17-04-2020,922,273,611,38,20,102
18-04-2020,1371,426,910,35,23,105
19-04-2020,1580,388,1154,38,20,111
20-04-2020,1239,419,787,33,20,105
21-04-2020,1537,703,781,53,20,117
22-04-2020,1292,394,862,36,18,109
23-04-2020,1667,642,985,40,22,126
24-04-2020,1408,484,865,59,20,105
25-04-2020,1835,442,1349,44,23,132
26-04-2020,1607,585,966,56,20,109





